bench, mem, row_size, row_count, col_width,data,cpu
qjoin, r,64,32768,4,785879,3353512
qjoin, d,64,32768,4,1335788,3367897
qjoin, c,64,32768,4,979034,3362648
qjoin, r,64,32768,4,789050,3343105
qjoin, d,64,32768,4,1329969,3378036
qjoin, c,64,32768,4,982733,3388266
qjoin, r,64,32768,4,785020,3345188
qjoin, d,64,32768,4,1331341,3377822
qjoin, c,64,32768,4,983577,3351747
qjoin, r,64,32768,4,787450,3348770
qjoin, d,64,32768,4,1333125,3366731
qjoin, c,64,32768,4,980567,3339302
qjoin, r,64,32768,4,786426,3365604
qjoin, d,64,32768,4,1345512,3448682
qjoin, c,64,32768,4,982979,3335672
qjoin, r,64,32768,4,788131,3359329
qjoin, d,64,32768,4,1351016,3365501
qjoin, c,64,32768,4,980280,3340483
qjoin, r,64,32768,4,786590,3345280
qjoin, d,64,32768,4,1335190,3367018
qjoin, c,64,32768,4,983922,3365301
qjoin, r,64,32768,4,786752,3380289
qjoin, d,64,32768,4,1332543,3385103
qjoin, c,64,32768,4,974567,3366319
qjoin, r,64,32768,4,788552,3352191
qjoin, d,64,32768,4,1347627,3373581
qjoin, c,64,32768,4,977703,3362549
qjoin, r,64,32768,4,785757,3357358
qjoin, d,64,32768,4,1350726,3375154
qjoin, c,64,32768,4,966449,3399597
qjoin, r,64,32768,4,785508,3354983
qjoin, d,64,32768,4,1337718,3380091
qjoin, c,64,32768,4,987426,3385981
qjoin, r,64,32768,4,782574,3355921
qjoin, d,64,32768,4,1336515,3397742
qjoin, c,64,32768,4,978297,3357667
qjoin, r,128,32768,4,789991,3358876
qjoin, d,128,32768,4,1337493,3367236
qjoin, c,128,32768,4,986599,3365379
qjoin, r,128,32768,4,792082,3350958
qjoin, d,128,32768,4,1342108,3372634
qjoin, c,128,32768,4,995336,3369633
qjoin, r,128,32768,4,785419,3341402
qjoin, d,128,32768,4,1333911,3371237
qjoin, c,128,32768,4,999035,3356984
qjoin, r,128,32768,4,787307,3343321
qjoin, d,128,32768,4,1333793,3372169
qjoin, c,128,32768,4,987676,3343608
qjoin, r,128,32768,4,786112,3348590
qjoin, d,128,32768,4,1330602,3393804
qjoin, c,128,32768,4,1006742,3338414
qjoin, r,128,32768,4,786281,3356372
qjoin, d,128,32768,4,1332269,3367961
qjoin, c,128,32768,4,984782,3343608
qjoin, r,128,32768,4,785174,3360713
qjoin, d,128,32768,4,1334293,3381707
qjoin, c,128,32768,4,994345,3371912
qjoin, r,128,32768,4,784480,3369003
qjoin, d,128,32768,4,1344001,3417586
qjoin, c,128,32768,4,997261,3372551
qjoin, r,128,32768,4,789353,3343210
qjoin, d,128,32768,4,1329871,3362913
qjoin, c,128,32768,4,1007726,3384890
qjoin, r,128,32768,4,786560,3352062
qjoin, d,128,32768,4,1334921,3375722
qjoin, c,128,32768,4,1002544,3398249
qjoin, r,128,32768,4,788752,3359083
qjoin, d,128,32768,4,1337558,3371339
qjoin, c,128,32768,4,997058,3343608
qjoin, r,128,32768,4,785890,3351924
qjoin, d,128,32768,4,1334164,3374642
qjoin, c,128,32768,4,1001106,3382516
qjoin, r,128,32768,4,794586,3358265
qjoin, d,128,32768,4,1339499,3434095
qjoin, c,128,32768,4,995755,3334491
qjoin, r,128,32768,4,788147,3347008
qjoin, d,128,32768,4,1332519,3362626
qjoin, c,128,32768,4,997040,3334950
qjoin, r,128,32768,4,785723,3346717
qjoin, d,128,32768,4,1332812,3365767
qjoin, c,128,32768,4,989460,3348038
qjoin, r,128,32768,4,787791,3342814
qjoin, d,128,32768,4,1338060,3358302
qjoin, c,128,32768,4,989625,3343608
qjoin, r,128,32768,4,788147,3335223
qjoin, d,128,32768,4,1330590,3359223
qjoin, c,128,32768,4,992119,3334332
qjoin, r,128,32768,4,788741,3352533
qjoin, d,128,32768,4,1331720,3368650
qjoin, c,128,32768,4,986943,3356294
qjoin, r,128,32768,4,786359,3353983
qjoin, d,128,32768,4,1332391,3368386
qjoin, c,128,32768,4,984772,3359559
qjoin, r,128,32768,4,787076,3355207
qjoin, d,128,32768,4,1341677,3364625
qjoin, c,128,32768,4,991537,3373306
qjoin, r,128,32768,4,788525,3343019
qjoin, d,128,32768,4,1337229,3363784
qjoin, c,128,32768,4,992617,3389143
qjoin, r,128,32768,4,786139,3359272
qjoin, d,128,32768,4,1338551,3366493
qjoin, c,128,32768,4,1000608,3400756
qjoin, r,128,32768,4,786742,3354660
qjoin, d,128,32768,4,1331026,3365938
qjoin, c,128,32768,4,993189,3343608
qjoin, r,128,32768,4,785411,3353038
qjoin, d,128,32768,4,1338437,3366718
qjoin, c,128,32768,4,1002276,3408028
qjoin, r,128,32768,4,788634,3361428
qjoin, d,128,32768,4,1343473,3360493
qjoin, c,128,32768,4,989960,3343608
qjoin, r,128,32768,4,787663,3343646
qjoin, d,128,32768,4,1332182,3360614
qjoin, c,128,32768,4,994567,3358797
qjoin, r,128,32768,4,786998,3349963
qjoin, d,128,32768,4,1340172,3363793
qjoin, c,128,32768,4,1007110,3409385
qjoin, r,128,32768,4,793336,3354044
qjoin, d,128,32768,4,1333555,3361280
qjoin, c,128,32768,4,998651,3335842
qjoin, r,128,32768,4,786586,3340241
qjoin, d,128,32768,4,1328911,3362572
qjoin, c,128,32768,4,991041,3343608
qjoin, r,128,32768,4,786056,3346983
qjoin, d,128,32768,4,1338167,3369425
qjoin, c,128,32768,4,994161,3345441
qjoin, r,256,32768,4,787731,3362947
qjoin, d,256,32768,4,1345256,3341040
qjoin, c,256,32768,4,1049794,3387690
qjoin, r,256,32768,4,791715,3355690
qjoin, d,256,32768,4,1343210,3340387
qjoin, c,256,32768,4,1056720,3400497
qjoin, r,256,32768,4,789416,3342242
qjoin, d,256,32768,4,1342477,3346599
qjoin, c,256,32768,4,1032273,3342022
qjoin, r,256,32768,4,789501,3349957
qjoin, d,256,32768,4,1338267,3340451
qjoin, c,256,32768,4,1035196,3343391
qjoin, r,256,32768,4,787056,3351739
qjoin, d,256,32768,4,1341144,3345081
qjoin, c,256,32768,4,1018822,3402195
qjoin, r,256,32768,4,786790,3354749
qjoin, d,256,32768,4,1344090,3337483
qjoin, c,256,32768,4,1036488,3404839
qjoin, r,256,32768,4,798143,3342754
qjoin, d,256,32768,4,1348988,3350012
qjoin, c,256,32768,4,1054653,3379346
qjoin, r,256,32768,4,786550,3367736
qjoin, d,256,32768,4,1348612,3422761
qjoin, c,256,32768,4,1017755,3393403
qjoin, r,256,32768,4,787300,3357755
qjoin, d,256,32768,4,1342570,3339855
qjoin, c,256,32768,4,1016224,3407090
qjoin, r,256,32768,4,788153,3357359
qjoin, d,256,32768,4,1337745,3341025
qjoin, c,256,32768,4,1045526,3343608
qjoin, r,256,32768,4,784916,3364338
qjoin, d,256,32768,4,1336765,3349572
qjoin, c,256,32768,4,1055882,3382845
qjoin, r,256,32768,4,785841,3358201
qjoin, d,256,32768,4,1342105,3343983
qjoin, c,256,32768,4,1044567,3333808
qjoin, r,256,32768,4,787221,3350337
qjoin, d,256,32768,4,1340136,3357071
qjoin, c,256,32768,4,1025060,3378427
qjoin, r,256,32768,4,791303,3351155
qjoin, d,256,32768,4,1341748,3341089
qjoin, c,256,32768,4,1015849,3365318
qjoin, r,256,32768,4,785360,3361944
qjoin, d,256,32768,4,1344393,3335126
qjoin, c,256,32768,4,1017611,3343608
qjoin, r,256,32768,4,789296,3352793
qjoin, d,256,32768,4,1344202,3354114
qjoin, c,256,32768,4,1034146,3397331
qjoin, r,256,32768,4,792442,3340693
qjoin, d,256,32768,4,1348494,3343890
qjoin, c,256,32768,4,1017676,3394602
qjoin, r,256,32768,4,787111,3366334
qjoin, d,256,32768,4,1349256,3402503
qjoin, c,256,32768,4,1032624,3346515
qjoin, r,256,32768,4,786222,3349050
qjoin, d,256,32768,4,1338918,3341012
qjoin, c,256,32768,4,1044567,3351482
qjoin, r,256,32768,4,786722,3351267
qjoin, d,256,32768,4,1343053,3341564
qjoin, c,256,32768,4,1048090,3407950
qjoin, r,256,32768,4,787867,3354605
qjoin, d,256,32768,4,1342656,3346589
qjoin, c,256,32768,4,1051002,3343608
qjoin, r,256,32768,4,790068,3354115
qjoin, d,256,32768,4,1339561,3352496
qjoin, c,256,32768,4,1057803,3402791
qjoin, r,256,32768,4,792010,3344584
qjoin, d,256,32768,4,1341511,3338044
qjoin, c,256,32768,4,1033093,3398447
qjoin, r,256,32768,4,788267,3351474
qjoin, d,256,32768,4,1342739,3347672
qjoin, c,256,32768,4,1057158,3343608
qjoin, r,256,32768,4,790651,3356157
qjoin, d,256,32768,4,1339247,3349733
qjoin, c,256,32768,4,1020438,3336538
qjoin, r,256,32768,4,787943,3357554
qjoin, d,256,32768,4,1338241,3362754
qjoin, c,256,32768,4,1019114,3345808
qjoin, r,256,32768,4,788626,3366514
qjoin, d,256,32768,4,1349543,3396700
qjoin, c,256,32768,4,1015105,3357311
qjoin, r,256,32768,4,787631,3357897
qjoin, d,256,32768,4,1347075,3347217
qjoin, c,256,32768,4,1044567,3349152
qjoin, r,256,32768,4,786145,3362162
qjoin, d,256,32768,4,1338926,3343178
qjoin, c,256,32768,4,1033336,3408972
qjoin, r,256,32768,4,783057,3349486
qjoin, d,256,32768,4,1341592,3396818
qjoin, c,256,32768,4,1019355,3356444
