0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0
0.49,0.57,0.68,1.32,1.49,1.62,1.79,1.94,2.08,2.23
0.53,0.65,1.23,1.39,1.56,1.73,1.91,2.05,2.21,2.18
0.61,0.73,1.32,1.47,1.65,1.84,2.02,2.16,2.15,2.12
1.26,1.31,1.4,1.53,1.74,1.93,2.1,2.08,2.09,2.06
1.3,1.38,1.47,1.61,1.82,2.01,2.03,2.04,2.02,1.98
1.35,1.44,1.55,1.71,1.89,1.92,1.94,1.93,1.89,1.87
1.39,1.51,1.64,1.79,1.82,1.84,1.81,1.78,1.76,1.74
1.44,1.57,1.71,1.74,1.76,1.72,1.69,1.68,1.66,1.65
1.49,1.62,1.66,1.71,1.68,1.66,1.64,1.62,1.61,1.59
1.54,1.57,1.59,1.63,1.64,1.63,1.62,1.61,1.6,1.58
